year,mrad,group
1954.5,113.2,a
1956.5,109.2,a
1958.5,109.2,a
1958.5,110.2,a
1963.5,113.2,a
1964.5,109.2,a
1965.5,110.2,a
1967.5,111.2,a
1968.5,111.2,a
1969.5,111.2,a
1972.5,112.2,a
1974.5,112.2,a
1975.5,113.2,a
1976.5,111.2,a
1977.5,111.2,a
1980.5,113.2,a
1981.5,113.2,a
1982.5,113.2,a
1984.5,114.2,a
1985.5,115.2,a
1986.5,113.2,a
1987.5,114.2,a
1996.5,122.2,b
1997.5,117.2,b
1998.5,119.2,b
1999.5,114.2,b
2000.5,115.2,b
2001.5,115.2,b
2002.5,114.2,b
2003.5,114.2,b
2005.5,116.2,b
2006.5,115.2,b
2008.5,115.2,b
2009.5,114.2,b
2010.5,114.2,b
2011.5,116.2,b
2012.5,116.2,b
2014.5,117.2,b
